RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
660781,2015908784,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/20/2015,12/19/2015,12/19/2015,135XX BLOCK OF AURORA AV N,N,N2,401.1008,-122.345024109,47.727767944,"(47.727767944, -122.345024109)"
660788,2015908782,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/20/2015,12/19/2015,12/20/2015,2XX BLOCK OF NW 46 ST,B,B2,4800.2005,-122.359909058,47.662368774,"(47.662368774, -122.359909058)"
660431,2015442381,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/22/2015,12/20/2015,,15XX BLOCK OF 7 AV,M,M2,8200.1018,-122.333808899,47.612102509,"(47.612102509, -122.333808899)"
660821,2015439919,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/20/2015,12/20/2015,,1XX BLOCK OF NE 95 ST,L,L2,1900.1002,-122.327110291,47.697723389,"(47.697723389, -122.327110291)"
660460,201636168,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/30/2016,01/30/2016,01/30/2016,3XX BLOCK OF THOMAS ST,Q,Q3,7100.2001,-122.349555969,47.620914459,"(47.620914459, -122.349555969)"
660540,2015908600,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/23/2015,12/22/2015,12/23/2015,52XX BLOCK OF 19 AV NE,U,U1,4400.3000,-122.307151794,47.66746521,"(47.66746521, -122.307151794)"
660995,2015438927,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/19/2015,12/18/2015,12/19/2015,67XX BLOCK OF CORSON AV S,O,O3,10900.1006,-122.322906494,47.542942047,"(47.542942047, -122.322906494)"
660597,2015441255,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/21/2015,12/21/2015,,112XX BLOCK OF GREENWOOD AV N,N,N1,1400.1003,-122.355499268,47.711437225,"(47.711437225, -122.355499268)"
661104,2015438946,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/19/2015,12/19/2015,,11XX BLOCK OF SW HOLDEN ST,F,F3,11300.5001,-122.349906921,47.534046173,"(47.534046173, -122.349906921)"
661114,2015438926,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/19/2015,12/19/2015,12/19/2015,1XX BLOCK OF NW 85 ST,J,J1,1701.1014,-122.359313965,47.690616608,"(47.690616608, -122.359313965)"
